"Title","Authors","Link","Year","Source title","Abstract","Author Keywords","Sponsors","Publisher","Conference name","Conference date","Conference location","Conference code","Document Type","Source"
"Variable provenance in software systems","Chittimalli P.K., Naik R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942523680&doi=10.1145%2f2593822.2593826&partnerID=40&md5=610dad3ee13ceb61a12498e10dee2b9b",2014,"4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014 - Proceedings","Data Provenance is defined as lineage or history of the given dataitem. Knowing the source of the data or the transformation of the data-source to compute the given data is critical for analyzing the quality of the data. Many transformations of data are done in software (source code). We introduce and define the concept of Variable Provenance for source code. We argue that determining the origin(s) of the data held by a variable and the history of modifications of the variable can provide critical information along many dimensions about what happens in the source code. We use understanding of source code and creating business rules from source code as use-cases to illustrate our view-point. To compute the variable provenance, we combine program slicing techniques and operational rules associated with mathematical operators in computations to propagate the annotations. We predict that the solution to the problem of variable provenance can lead to many use-cases in the software engineering community, effective discovery of processes and business rules from existing systems, and powerful development, debugging and evolution techniques for the software industry. Â© 2014 ACM.","Business rules; Data dictionary; Program analysis; Program comprehension; Provenance","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society's Tech. Council on Software Engin. (TCSE)","Association for Computing Machinery, Inc","4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014","3 June 2014",,113495,"Conference Paper","Scopus"
"Towards standardized evaluation of developer-assistance tools","Proksch S., Amann S., Mezini M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942546579&doi=10.1145%2f2593822.2593827&partnerID=40&md5=ae67c01393afc41abbd59c65601d6a36",2014,"4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014 - Proceedings","Over the last years, researchers proposed a variety of assistance tools to support developers in their development environments. Many of the respective publications introduce new evaluation strategies or use custom datasets. Size and quality of the performed evaluations differ. Additionally, the strategies often use metrics that are tailored to the respective tools. As a result, comparing different assistance tools is very dificult. In this work, we present a framework for the standardized evaluation of assistance tools, on the example of code recommenders. The framework combines different ideas and demands from previous work. Furthermore, we discuss how the community could jointly realize the framework. Â© 2014 ACM.","Content Assistance Tools; Evaluation; Integrated Development Environment; Repository; Standardization","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society's Tech. Council on Software Engin. (TCSE)","Association for Computing Machinery, Inc","4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014","3 June 2014",,113495,"Conference Paper","Scopus"
"Code recommendation based on a degree-of-interest model","Murakami N., Masuhara H., Aotani T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942522119&doi=10.1145%2f2593822.2593828&partnerID=40&md5=2f44711decd8e6c1ff5ecc49e0d6b483",2014,"4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014 - Proceedings","Code recommendation systems predict and present what the user is likely to write next by using the user's editing context, namely textual and semantic information about the programs being edited in a programming editor. Most existing systems however use information merely around the cursor position|i.e., the class/method definition at the cursor position|as the editing context. By including the code related to the current method/class, like the callers and callees of the method, recommendation could become more appropriate. We propose to use the user's editing activity for identifying code relevant to the current method/class. Specifically, we use a modified degree-of-interest model in the Mylyn task management tool, and incorporated the model in our repository-based code recommendation system, Selene. This paper reports the design of the system and the results of our initial experiments. Â© 2014 ACM.","Keyword search; Similarity","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society's Tech. Council on Software Engin. (TCSE)","Association for Computing Machinery, Inc","4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014","3 June 2014",,113495,"Conference Paper","Scopus"
"Automated support for human resource allocation in software process by cluster analysis","Santos T.J.A., Lima A.M., Reis C.A.L., Reis R.Q.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931039265&doi=10.1145%2f2593822.2593830&partnerID=40&md5=64d84a0ae6669c08581907751804d215",2014,"4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014 - Proceedings","It is widely recognized the potential of using organizational data analysis to enable automated tools supporting process management task. The organizational repositories should be used in an active way to accordingly support dynamic decision-making process in software project management. In this paper, we briefly describe a research aiming to support the human resource allocation process in the software process context based on the analysis of organizational repositories. It intends to provide an organizational data analysis as a mean to take empirical evidence to perform fact-based decisions upon historical and ongoing organizational experiences. As the work is in its beginning, we also present some differences from other already existing approaches and the main challenges to be overcome through completion of this work. Â© 2014 ACM.","Data mining; Human resource management; Mining software repositories; Software process","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society's Tech. Council on Software Engin. (TCSE)","Association for Computing Machinery, Inc","4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014","3 June 2014",,113495,"Conference Paper","Scopus"
"Using developer conversations to resolve uncertainty in software development: A position paper","Mashiyat A.S., Famelis M., Salay R., Chechik M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942523733&doi=10.1145%2f2593822.2593823&partnerID=40&md5=e6d37daf5beed638968410355399d743",2014,"4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014 - Proceedings","Software development is a social process: Tasks such as implementing a requirement or fixing a bug typically spark conversations between the stakeholders of a software project, where they identify points of uncertainty in the solution space and explore proposals to resolve them. Due to the fluid nature of these interactions, it is hard for project man- Agers to maintain an overall understanding of the state of the discussion and to know when and how to intervene. We pro- pose an approach for extracting the uncertainty information from developer conversations in order to provide managers with analytics. Using these allows us to recommend specificactions that managers can take to better facilitate the resolution of uncertainty. Â© 2014 ACM.","Natural language processing; Uncertainty management","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society's Tech. Council on Software Engin. (TCSE)","Association for Computing Machinery, Inc","4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014","3 June 2014",,113495,"Conference Paper","Scopus"
"Towards a visualized code recommendation for APIs enriched with specification mining","Ghafari M., Heydarnoori A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942520430&doi=10.1145%2f2593822.2593825&partnerID=40&md5=45c58a2eb4d083804594c459c851d907",2014,"4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014 - Proceedings","This paper positions an idea for an interactive code recommendation system. In this work, candidate recommendations are abstracted as a graph-based visualization of the API usages that are decorated with the API specifications and the usage rules mined from the unit test cases of the given API and its usage examples. The user can then progressively explore this graph to obtain her desired code with- out delving into the implementation details. Â© 2014 ACM.","Code recommendation; Specification; Unit test; Visualization","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society's Tech. Council on Software Engin. (TCSE)","Association for Computing Machinery, Inc","4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014","3 June 2014",,113495,"Conference Paper","Scopus"
"Recommending a starting point for a programming task: An initial investigation","Thompson C.A., Murphy G.C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942522608&doi=10.1145%2f2593822.2593824&partnerID=40&md5=1c0a905392f77cca1aaf8a80736481d1",2014,"4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014 - Proceedings","When starting a new task, a software developer must typically find one or more starting points amongst many re- sources (e.g., source code and other files) forming the soft- ware system. In this paper, we consider how we might recommend one resource as an initial starting point, saving the developer the effort of having to search or use other means to find the point. Using data from the open source Eclipse Mylyn project, we investigate whether resources considered and changed for other tasks may be used to recommend a starting point for a current task. Â© 2014 ACM.","Program history; Repository mining; Task similarity","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society's Tech. Council on Software Engin. (TCSE)","Association for Computing Machinery, Inc","4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014","3 June 2014",,113495,"Conference Paper","Scopus"
"Recommendation system to enhance planning of software development using R","Rao J.J., Kelappan R., Pallath P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942513344&doi=10.1145%2f2593822.2593831&partnerID=40&md5=16a3e2e17d64df18e75ece2e344da239",2014,"4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014 - Proceedings","Today, planning phase of software development is very important since it involves crucial decision making on resource allocation, task management and delivery timelines. It is extremely important for employees and administrative decision makers (managers) to understand the data (e.g., his- Toric software artifacts, resource availability) and arrive at a decision. We try to apply data mining concepts like regression, classification and hybrid approaches to effectively plan the future allocations using open source R-scripts. These results could be correlated to recommend the best practices to be implemented, thus helping the management to gain better visibility. These custom R-scripts could be eficiently reused in the future to predict the further planning of the task. Our recommendation system aims at providing which- Task-to-whom feature with the help of proposed automated estimation process for planning of software development. Â© 2014 ACM.","Artificial Intelligence; Data Mining; Predictive Analysis; R-script; Recommendation System; Software Development; Software Planning","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society's Tech. Council on Software Engin. (TCSE)","Association for Computing Machinery, Inc","4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014","3 June 2014",,113495,"Conference Paper","Scopus"
"Recommending process improvement package using direct and indirect relationships of activities","Choi S., Kim D.-K., Park S., Lee J., Park S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942521950&doi=10.1145%2f2593822.2593829&partnerID=40&md5=ffaaff370558e58bceb8a3474c91d700",2014,"4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014 - Proceedings","Software process improvement (SPI) has been widely prac- Ticed in various domains. SPI uses a process reference model (e.g., CMMI) for planning improvement actions by identifying weaknesses and strengths of the current exercise. Identified findings are analyzed for their relationships to increase the synergy of improvement actions. However, the current practice is monotonic focusing on the identification of weaknesses and strengths. In this work, we present a CMMI- based recommendation method for analyzing correlations of assessment findings. In the model, we define a process correlation model capturing relationships of practices in CMMI. The model is then used for inferring relationships of given findings where findings are viewed as instances of CMMI practices. We take into account both direct and indirect relationships and analyze the precision and recall of the correlation model by different levels of relationship depth. We evaluate the method using industrial data and the results show the potential of the method. Â© 2014 ACM.","Knowledge transfer; Process correlation analysis; Process improvement planning; Software process improvement recommendation","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society's Tech. Council on Software Engin. (TCSE)","Association for Computing Machinery, Inc","4th International Workshop on Recommendation Systems for Software Engineering, RSSE 2014","3 June 2014",,113495,"Conference Paper","Scopus"
"Annotation support for generic patches","Dotzler G., Veldema R., Philippsen M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864682962&doi=10.1109%2fRSSE.2012.6233400&partnerID=40&md5=6b12a61e2f7a1ad915eef83ffe41fcae",2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings","In large projects parallelization of existing programs or refactoring of source code is time consuming as well as error-prone and would benefit from tool support. However, existing automatic transformation systems are not extensively used because they either require tedious definitions of source code transformations or they lack general adaptability. In our approach, a programmer changes code inside a project, resulting in before and after source code versions. The difference (the generated transformation) is stored in a database. When presented with some arbitrary code, our tool mines the database to determine which of the generalized transformations possibly apply. Our system is different from a pure compiler based (semantics preserving) approach as we only suggest code modifications. Our contribution is a set of generalizing annotations that we have found by analyzing recurring patterns in open source projects. We show the usability of our system and the annotations by finding matches and applying generated transformations in real-world applications. Â© 2012 IEEE.","code-refactoring; optimizations; patches; programming tools",,,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012","4 June 2012 through 4 June 2012","Zurich",91695,"Conference Paper","Scopus"
